Title,DOI,Year,Source
"Latent Error Prediction and Fault Localization for Microservice Applications by Learning from System Trace Logs","10.1145/3338906.3338961",2019,"ACM, SCOPUS"
"CloudRanger: Root Cause Identification for Cloud Native Systems","10.1109/CCGRID.2018.00076",2018,"ACM, IEEE, SCOPUS"
"Localization of Operational Faults in Cloud Applications by Mining Causal Dependencies in Logs Using Golden Signals","10.1007/978-3-030-76352-7_17",2020,"ACM, SPRINGER"
"Requirements For&nbsp;Anomaly Detection Techniques For&nbsp;Microservices","10.1007/978-3-031-21388-5_3",2022,"ACM, SCOPUS, SPRINGER"
"TrinityRCL: Multi-Granular and Code-Level Root Cause Localization Using Multiple Types of Telemetry Data in Microservice Systems","10.1109/TSE.2023.3241299",2023,"ACM, IEEE, SCOPUS"
"Look Deep into the Microservice System Anomaly through Very Sparse Logs","10.1145/3543507.3583338",2023,"ACM, SCOPUS"
"Fault Analysis and Debugging of Microservice Systems: Industrial Survey, Benchmark System, and Empirical Study","10.1109/TSE.2018.2887384",2021,"ACM, IEEE, SCOPUS"
"Graph-Based Root Cause Analysis for Service-Oriented and Microservice Architectures","10.1016/j.jss.2019.110432",2020,"ACM, SCOPUS"
"IoMiRCA: Root Cause Analysis in IoT-Extended 5G Microservice Environments","10.1145/3555776.3577840",2023,"ACM"
"LongTale: Toward Automatic Performance Anomaly Explanation in Microservices","10.1145/3489525.3511675",2022,"ACM, SCOPUS"
"Sage: Practical and Scalable ML-Driven Performance Debugging in Microservices","10.1145/3445814.3446700",2021,"ACM"
"Benchmarking Microservice Systems for Software Engineering Research","10.1145/3183440.3194991",2018,"ACM, SCOPUS"
"DeepTraLog: Trace-Log Combined Microservice Anomaly Detection through Graph-Based Deep Learning","10.1145/3510003.3510180",2022,"ACM, IEEE, SCOPUS"
"Trace Analysis Based Microservice Architecture Measurement","10.1145/3540250.3558951",2022,"ACM, SCOPUS"
"Performance Diagnosis in Cloud Microservices Using Deep Learning","10.1007/978-3-030-76352-7_13",2020,"ACM, SCOPUS, SPRINGER"
"MicroRCA: Root Cause Localization of Performance Issues in Microservices","10.1109/NOMS47738.2020.9110353",2020,"ACM, IEEE, SCOPUS"
"MicroEGRCL: An Edge-Attention-Based Graph Neural Network Approach For&nbsp;Root Cause Localization In&nbsp;Microservice Systems,Chen","10.1007/978-3-031-20984-0_18",2022,"ACM, SCOPUS, SPRINGER"
"Using Microservice Telemetry Data for System Dynamic Analysis","10.1109/SOSE55356.2022.00010",2022,"IEEE, SCOPUS"
"TADL: Fault Localization with Transformer-based Anomaly Detection for Dynamic Microservice Systems","10.1109/SANER56733.2023.00078",2023,"IEEE, SCOPUS"
"Localizing and Explaining Faults in Microservices Using Distributed Tracing","10.1109/CLOUD55607.2022.00072",2022,"IEEE, SCOPUS"
"Trace-based Intelligent Fault Diagnosis for Microservices with Deep Learning","10.1109/COMPSAC51774.2021.00121",2021,"IEEE, SCOPUS"
"Practical Root Cause Localization for Microservice Systems via Trace Analysis","10.1109/IWQOS52092.2021.9521340",2021,"IEEE, SCOPUS"
"ServiceRank: Root Cause Identification of Anomaly in Large-Scale Microservice Architectures","10.1109/TDSC.2021.3083671",2022,"IEEE, SCOPUS"
"MFRL-CA: Microservice Fault Root Cause Location based on Correlation Analysis","10.1109/DSA52907.2021.00018",2021,"IEEE, SCOPUS"
"Fault Localization for Microservice Applications with System Logs and Monitoring Metrics","10.1109/ICCCBDA55098.2022.9778893",2022,"IEEE, SCOPUS"
"MicroMILTS: Fault Location for Microservices Based Mutual Information and LSTM Autoencoder","10.23919/APNOMS56106.2022.9919941",2022,"IEEE, SCOPUS"
"Root-Cause Metric Location for Microservice Systems via Log Anomaly Detection","10.1109/ICWS49710.2020.00026",2020,"IEEE, SCOPUS"
"A Saga Pattern Microservice Reference Architecture for an Elastic SLO Violation Analysis","10.1109/ICSA-C54293.2022.00029",2022,"IEEE, SCOPUS"
"A layered framework for root cause diagnosis of microservices","10.1109/NCA53618.2021.9685494",2021,"IEEE"
"MicroLens: A Performance Analysis Framework for Microservices Using Hidden Metrics With BPF","10.1109/CLOUD55607.2022.00043",2022,"IEEE, SCOPUS"
"TS-InvarNet: Anomaly Detection and Localization based on Tempo-spatial KPI Invariants in Distributed Services","10.1109/ICWS55610.2022.00031",2022,"IEEE"
"DyCause: Crowdsourcing to Diagnose Microservice Kernel Failure","10.1109/TDSC.2022.3233915",2023,"IEEE, SCOPUS"
"MicroDiag: Fine-grained Performance Diagnosis for Microservice Systems","10.1109/CloudIntelligence52565.2021.00015",2021,"IEEE, SCOPUS"
"An Approach of Automated Anomalous Microservice Ranking in Cloud-Native Environments","10.1142/S0218194021400167",2021,"SCOPUS"
"Detecting anomalies in microservices with execution trace comparison","10.1016/j.future.2020.10.040",2021,"SCOPUS"
"TraceRank: Abnormal service localization with dis-aggregated end-to-end tracing data in cloud native systems","10.1002/smr.2413",2021,"SCOPUS"
"On anomaly detection and root cause analysis of microservice systems","10.1007/978-3-030-17642-6_45",2019,"SCOPUS, SPRINGER"
"Microscope: Pinpoint Performance Issues with Causal Graphs in Micro-service Environments","10.1007/978-3-030-03596-9_1",2018,"SPRINGER"
"Failure Root Cause Analysis forÂ Microservices, Explained","10.1007/978-3-031-16092-9_6",2022,"SPRINGER"
"Anomaly Detection and Diagnosis for Container-Based Microservices with Performance Monitoring","10.1007/978-3-030-05063-4_42",2018,"SPRINGER"
"Automated Generation of Configurable Cloud-Native Chaos Testbeds","10.1007/978-3-030-86507-8_10",2021,"SPRINGER"
